       n      repetitions      time
     1     182881468     0.000000
     2     168058133     0.000000
     4     119676462     0.000000
     8      63885321     0.000000
    16      24465863     0.000000
    32       6918598     0.000001
    64       1706978     0.000006
   128        438097     0.000023
   256        113902     0.000088
   512         29175     0.000343
  1024          7510     0.001332
  2048          1870     0.005349
  4096           467     0.021439
  8192           118     0.084907
 16384            29     0.347517
 32768             8     1.372750
 65536             2     5.497000
131072             1     22.109000
