       n      repetitions      time
     1     171798972     0.000000
     2     146837795     0.000000
     4     117374588     0.000000
     8      63640173     0.000000
    16      23718135     0.000000
    32       6865599     0.000001
    64       1668782     0.000006
   128        437100     0.000023
   256        113280     0.000088
   512         28919     0.000346
  1024          7354     0.001360
  2048          1821     0.005493
  4096           464     0.021563
  8192           116     0.086509
 16384            29     0.345345
