       n      repetitions      time
     1      43500844     0.000000
     2      21747149     0.000000
     4      10767705     0.000001
     8       5568643     0.000002
    16       2748752     0.000004
    32       1329734     0.000008
    64        609640     0.000016
   128        258144     0.000039
   256        100975     0.000099
   512         35869     0.000279
  1024         11385     0.000878
  2048          3284     0.003045
  4096           889     0.011249
  8192           232     0.043241
 16384            59     0.171085
 32768            15     0.709400
 65536             4     2.711000
131072             1     10.923000
