       n      repetitions      time
     1      59900021     0.000000
     2      35396925     0.000000
     4      18962231     0.000001
     8       9930855     0.000001
    16       4770270     0.000002
    32       2016773     0.000005
    64        758232     0.000013
   128        266120     0.000038
   256         85195     0.000117
   512         24968     0.000401
  1024          6829     0.001464
  2048          1802     0.005550
  4096           460     0.021739
  8192           117     0.085521
 16384            30     0.336467
 32768             8     1.361375
 65536             2     5.344000
131072             1     21.424000
